id;isbn;writer_name;publisher_name;published_date;genre
1;Handmade Cotton Table CSS;Mayotte Dynamic SAS;digital forecast Bahrain;2021-05-10;Developer compress transmit
2;synthesizing Director Concrete;Sleek Rubber Mouse generate;Designer calculating;2021-05-11;Kansas Accountability
3;Texas auxiliary;Pula redefine Paradigm;Optimization secondary driver;2021-05-11;connecting
4;Games;Personal Loan Account bleeding-edge payment;markets;2021-05-11;override
5;bus;Licensed Plastic Bacon Consultant XML;Developer orchestrate;2021-05-10;Port turn-key Australian Dollar
6;panel;transmitting grow;Practical Granite Chicken;2021-05-10;backing up Ports
7;syndicate;Computer navigate Chicken;back-end;2021-05-11;monitor Sweden mobile
8;protocol Web Checking Account;Developer;Concrete next-generation task-force;2021-05-11;green Dominica
9;Shoes parse world-class;Cocos (Keeling) Islands South Carolina;interface;2021-05-11;e-business silver Clothing
10;payment Books Oklahoma;Antigua and Barbuda Station;interface calculate Zloty;2021-05-11;Handmade Rubber Pizza generate Health
