id;name;director_name;writer_name;duration;rating
1;Checking Account parsing;Strategist calculating;deposit e-services;31563;18517
2;Austria;pink e-business Home Loan Account;Honduras UAE Dirham deposit;94844;93471
3;Investment Account Money Market Account programming;Handcrafted Frozen Bacon pricing structure;Plastic Fish Avon;59851;98297
4;invoice Future;Cross-group Savings Account;back up;87127;62899
5;Fully-configurable Bacon;Tanzanian Shilling Small Frozen Shirt;Dynamic pixel;91851;6848
6;GB virtual methodologies;system Forint;solutions;43886;48929
7;Directives Architect Industrial;Bermudian Dollar (customarily known as Bermuda Dollar) card Rustic Cotton Bacon;SQL even-keeled Wooden;43603;24766
8;Knoll;Taka Refined;Denmark;46304;87119
9;Ergonomic invoice;Practical AGP;Granite Cotton Supervisor;30024;51097
10;Product;Coordinator;embrace;83598;1428
